name,nickname,weight_class,wins,losses,draws,height_cm,reach_cm,stance,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,striking_accuracy,striking_defense,takedown_avg_per_fight,takedown_accuracy,takedown_defense,submission_avg_per_fight
Jessica Aguilar,Jag,Strawweight,20,8,0,160.02,160.02,Orthodox,4.93,7.19,50,53,0.94,25,50,0.2
Deron Winn,,Middleweight,7,3,0,167.64,177.8,Orthodox,4.55,6.21,44,46,4.28,52,40,0.0
Gegard Mousasi,,Middleweight,42,6,2,187.96,193.04,Orthodox,3.75,1.21,50,68,1.59,60,59,1.1
Mike Pierce,,Welterweight,17,7,0,172.72,180.34,Orthodox,2.62,2.36,42,62,3.08,42,71,0.2
Hyun Gyu Lim,The Ace,Welterweight,13,7,1,190.5,195.58,Orthodox,4.45,5.07,41,51,0.23,100,73,0.2
Bo Nickal,,Middleweight,7,1,0,185.42,193.04,Southpaw,2.36,2.11,59,58,3.34,53,100,2.9
Phil Harris,Billy,Flyweight,22,12,0,162.56,165.1,Orthodox,2.34,3.16,26,68,1.76,21,60,0.0
Jamie Varner,,Lightweight,21,11,1,172.72,180.34,Orthodox,2.92,2.55,34,58,3.49,53,66,0.8
Tom Gallicchio,Da Tank,Welterweight,19,10,0,177.8,,Southpaw,3.53,7.07,26,43,1.0,11,0,0.0
Papy Abedi,Makambo,Middleweight,10,4,0,180.34,,Southpaw,2.8,3.15,55,48,3.47,57,50,1.3
Adriano Martins,,Lightweight,28,9,0,177.8,182.88,Southpaw,1.8,2.14,38,65,0.83,80,81,0.4
David Branch,,Middleweight,22,6,0,185.42,198.12,Orthodox,1.66,1.91,39,56,2.55,32,43,0.0
Matt Dwyer,,Welterweight,9,4,0,193.04,193.04,Orthodox,2.57,3.24,34,54,0.44,10,60,0.0
Murilo Bustamante,,Middleweight,15,8,1,187.96,,Orthodox,1.33,1.9,32,60,2.46,33,54,1.2
Jason High,The Kansas City Bandit,Lightweight,21,6,0,172.72,185.42,Southpaw,1.28,1.56,42,48,2.36,63,37,2.8
Hannah Goldy,24K,Strawweight,6,4,0,162.56,154.94,Orthodox,5.19,4.67,47,50,0.66,12,54,0.2
Nate Diaz,,Welterweight,22,13,0,182.88,193.04,Southpaw,4.57,3.77,45,52,1.05,30,41,1.3
Rick Davis,The Flying Squirrel,Lightweight,3,1,1,175.26,,Orthodox,3.09,6.19,50,64,0.0,0,0,0.0
Matt Sayles,,Lightweight,8,4,0,170.18,172.72,Orthodox,4.83,2.81,41,61,0.36,16,81,0.7
Marnic Mann,The Sawed-Off Savage,Strawweight,6,3,0,152.4,162.56,Southpaw,1.47,5.08,41,31,1.9,33,25,0.4
