fighter_a_name,fighter_b_name,winner_name,fight_date,method,round,event_name
Benoit Saint Denis,Mauricio Ruffy,Benoit Saint Denis,2025-09-06,Submission,2,UFC Fight Night: Imavov vs. Borralho
Nassourdine Imavov,Caio Borralho,Nassourdine Imavov,2025-09-06,Decision - Unanimous,5,UFC Fight Night: Imavov vs. Borralho
Modestas Bukauskas,Paul Craig,Modestas Bukauskas,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Bolaji Oki,Mason Jones,Mason Jones,2025-09-06,KO/TKO,2,UFC Fight Night: Imavov vs. Borralho
Axel Sola,Rhys McKee,Axel Sola,2025-09-06,KO/TKO,3,UFC Fight Night: Imavov vs. Borralho
Oumar Sy,Brendson Ribeiro,Oumar Sy,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
William Gomis,Robert Ruchala,William Gomis,2025-09-06,Decision - Unanimous,3,UFC Fight Night: Imavov vs. Borralho
Marcin Tybura,Ante Delija,Ante Delija,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Harry Hardwick,Kaue Fernandes,Kaue Fernandes,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Andreas Gustafsson,Rinat Fakhretdinov,Rinat Fakhretdinov,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Sam Patterson,Trey Waters,Sam Patterson,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Brad Tavares,Robert Bryczek,Robert Bryczek,2025-09-06,KO/TKO,3,UFC Fight Night: Imavov vs. Borralho
Johnny Walker,Zhang Mingyang,Johnny Walker,2025-08-23,KO/TKO,2,UFC Fight Night: Walker vs. Zhang
Shauna Bannon,Sam Hughes,Sam Hughes,2025-09-06,Submission,2,UFC Fight Night: Imavov vs. Borralho
Brian Ortega,Aljamain Sterling,Aljamain Sterling,2025-08-23,Decision - Unanimous,5,UFC Fight Night: Walker vs. Zhang
Sergei Pavlovich,Waldo Cortes-Acosta,Sergei Pavlovich,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Sumudaerji,Kevin Borjas,Sumudaerji,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Taiyilake Nueraji,Kiefer Crosbie,Taiyilake Nueraji,2025-08-23,KO/TKO,1,UFC Fight Night: Walker vs. Zhang
Maheshate,Gauge Young,Gauge Young,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Rongzhu,Austin Hubbard,Rongzhu,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Charles Johnson,Lone'er Kavanagh,Charles Johnson,2025-08-23,KO/TKO,2,UFC Fight Night: Walker vs. Zhang
Xiao Long,SuYoung You,SuYoung You,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Michel Pereira,Kyle Daukaus,Kyle Daukaus,2025-08-23,KO/TKO,1,UFC Fight Night: Walker vs. Zhang
Yizha,Westin Wilson,Yizha,2025-08-23,KO/TKO,1,UFC Fight Night: Walker vs. Zhang
Dricus Du Plessis,Khamzat Chimaev,Khamzat Chimaev,2025-08-16,Decision - Unanimous,5,UFC 319: Du Plessis vs. Chimaev
Uran Satybaldiev,Diyar Nurgozhay,Uran Satybaldiev,2025-08-23,Submission,1,UFC Fight Night: Walker vs. Zhang
Lerone Murphy,Aaron Pico,Lerone Murphy,2025-08-16,KO/TKO,1,UFC 319: Du Plessis vs. Chimaev
Geoff Neal,Carlos Prates,Carlos Prates,2025-08-16,KO/TKO,1,UFC 319: Du Plessis vs. Chimaev
Jared Cannonier,Michael Page,Michael Page,2025-08-16,Decision - Unanimous,3,UFC 319: Du Plessis vs. Chimaev
Tim Elliott,Kai Asakura,Tim Elliott,2025-08-16,Submission,2,UFC 319: Du Plessis vs. Chimaev
